customer_name,product,category,activity,activity_timestamp,device_type,session_id
Amahle Dlamini,Chicken Breast,Meat,Viewed,2025-01-04 09:15:00,mobile,sess-001
Amahle Dlamini,Chicken Breast,Meat,Added to Cart,2025-01-04 09:18:32,mobile,sess-001
Amahle Dlamini,Chicken Breast,Meat,Purchased,2025-01-05 10:45:00,mobile,sess-001
Sipho Nkosi,Full Cream Milk,Dairy,Viewed,2025-01-06 14:20:00,desktop,sess-002
Sipho Nkosi,Full Cream Milk,Dairy,Purchased,2025-01-07 08:05:00,desktop,sess-002
Lerato Mokoena,Maize Meal 5kg,Grains,Viewed,2025-01-09 11:30:00,mobile,sess-003
Lerato Mokoena,Maize Meal 5kg,Grains,Added to Cart,2025-01-09 11:34:00,mobile,sess-003
Lerato Mokoena,Maize Meal 5kg,Grains,Purchased,2025-01-10 09:00:00,mobile,sess-003
Thabo Sithole,Basmati Rice,Grains,Viewed,2025-02-01 16:45:00,tablet,sess-004
Thabo Sithole,Basmati Rice,Grains,Added to Cart,2025-02-01 16:50:00,tablet,sess-004
Kagiso Molefe,Beef Mince,Meat,Viewed,2025-02-01 10:05:00,desktop,sess-005
Kagiso Molefe,Beef Mince,Meat,Purchased,2025-02-02 12:30:00,desktop,sess-005
Zanele Khumalo,Cheddar Cheese,Dairy,Viewed,2025-02-05 09:00:00,mobile,sess-006
Zanele Khumalo,Cheddar Cheese,Dairy,Added to Cart,2025-02-05 09:03:00,mobile,sess-006
Zanele Khumalo,Cheddar Cheese,Dairy,Purchased,2025-02-06 11:15:00,mobile,sess-006
Hendrik van Wyk,Apples Granny Smith,Produce,Viewed,2025-02-17 13:20:00,desktop,sess-007
Hendrik van Wyk,Apples Granny Smith,Produce,Purchased,2025-02-18 08:40:00,desktop,sess-007
Fatima Cassim,Instant Coffee,Beverages,Viewed,2025-03-03 07:55:00,mobile,sess-008
Fatima Cassim,Instant Coffee,Beverages,Added to Cart,2025-03-03 07:58:00,mobile,sess-008
David Osei,Chicken Breast,Meat,Viewed,2025-03-04 15:10:00,desktop,sess-009
David Osei,Chicken Breast,Meat,Purchased,2025-03-05 10:00:00,desktop,sess-009
Nomsa Zulu,Free-Range Eggs,Dairy,Viewed,2025-04-19 12:00:00,tablet,sess-010
Nomsa Zulu,Free-Range Eggs,Dairy,Added to Cart,2025-04-19 12:04:00,tablet,sess-010
Nomsa Zulu,Free-Range Eggs,Dairy,Purchased,2025-04-20 09:30:00,tablet,sess-010
Precious Mahlangu,Washing Powder,Household,Viewed,2025-05-11 17:45:00,mobile,sess-011
